S.No,LSTAT,RM,MEDV
74,12.12,5.012,15.3
75,9.1,5.874,20.3
76,2.98,6.854,32
77,11.97,6.279,20
78,21.32,6.003,19.1
79,5.7,7.079,28.7
80,3.01,7.645,46
81,9.64,5.859,22.6
82,8.58,6.127,23.9
83,14,4.963,21.9
84,16.3,5.924,15.6
85,1.73,7.489,50
86,7.79,6.398,25
87,4.82,7.155,37.9
88,7.9,6.266,21.6
89,13.61,5.731,19.3
90,10.53,6.014,17.5
91,12.43,6.012,22.9
92,20.45,6.377,15
93,9.93,6.879,27.5
94,21.78,6.223,10.2
95,11.1,6.319,23.8
96,7.22,6.619,23.9
97,12.4,6.095,20.1
98,8.65,6.54,16.5
99,4.16,6.826,33.1
100,18.03,6.185,14.6
101,8.93,6.616,28.4
102,6.36,6.481,23.7
103,24.56,5.52,12.3
104,4.73,7.358,31.5
105,8.23,6.453,22
106,19.37,6.405,12.5
107,4.85,6.812,35.1
108,18.71,6.728,14.9
109,7.51,6.167,22.9
110,8.16,6.442,22.9
111,10.21,5.682,19.3
112,15.94,5.782,19.8
113,14.15,5.786,20
114,13.15,6.153,29.6
115,10.15,6.226,20.5
116,4.74,7.041,29
117,13.65,5.92,20.7
118,8.47,5.834,19.9
119,23.34,4.138,11.9
120,22.98,5.683,5
121,6.86,6.145,23.3
122,13.34,5.871,20.6
123,5.98,6.49,22.9
124,9.22,5.927,19.6
125,18.13,6.185,14.1
126,4.32,6.595,30.8
127,7.26,7.52,43.1
128,16.29,6.167,19.9
129,16.51,5.599,13.9
130,7.6,6.315,22.3
131,16.22,6.436,14.3
132,9.62,6.389,23.9
133,14.44,5.966,16
134,9.43,6.115,20.5
135,15.69,5.837,10.2
136,12.93,6.23,20.1
137,22.88,5.627,12.8
138,13.27,6.009,18.9
139,11.38,6.897,22
140,7.7,6.041,20.4
141,14.67,5.99,17.5
142,23.69,6.38,13.1
143,8.1,5.878,22
144,3.76,7.82,45.4
145,17.58,5.879,18.8
146,23.09,5.344,20
147,13.35,5.983,20.1
148,11.34,6.163,21.4
149,13.09,5.594,17.4
150,8.01,6.037,21.1
151,9.38,6.375,28.1
152,18.66,5.836,19.5
153,5.33,7.147,36.2
154,14.1,5.648,20.8
155,10.63,6.405,18.6
156,10.58,6.312,21.2
157,3.54,8.259,42.8
158,3.59,6.438,24.8
159,6.21,6.211,25
160,7.39,6.51,23.3
161,7.53,6.849,28.2
162,9.14,6.421,21.6
163,8.77,5.85,21
164,7.88,6.03,11.9
165,3.7,7.929,50
166,18.33,5.914,17.8
167,4.03,7.185,34.7
168,6.65,6.625,28.4
169,19.88,5.813,14.5
170,6.9,6.842,30.1
171,9.09,6.144,19.8
172,23.98,5.404,19.3
173,15.03,5.822,18.4
174,18.05,6.461,9.6
175,7.19,6.482,29.1
176,26.82,5.403,13.4
177,19.52,6.406,17.1
178,9.5,6.59,22
179,3.76,6.552,31.5
180,4.61,6.874,31.2
181,9.16,6.108,24.3
182,14.52,6.202,10.9
183,6.53,6.63,26.6
184,6.56,6.718,26.2
185,15.12,6.129,17
186,9.45,6.144,36.2
187,6.78,6.273,24.1
188,6.48,6.794,22
189,9.67,6.593,22.4
190,15.39,6.431,18
191,16.23,6.301,14.9
192,21.02,5.57,13.6
193,12.67,6.112,22.6
194,7.2,6.426,23.8
195,23.6,5.536,11.3
196,3.56,7.148,37.3
197,4.21,8.069,38.7
198,14.76,5.713,20.1
199,24.91,5.304,12
200,3.33,6.861,28.5
201,3.53,6.957,29.6
202,8.79,5.885,20.9
203,8.44,6.121,22.2
204,10.45,6.254,18.5
205,13.27,6.395,21.7
206,12.03,6.425,16.1
207,13.44,7.313,15
208,4.08,7.287,33.3
209,12.14,5.877,23.8
210,12.33,6.167,20.1
211,15.02,6.411,16.7
212,12.92,6.019,21.2
213,10.27,6.14,20.8
214,2.87,7.178,36.4
215,14.8,5.888,18.9
216,11.28,5.727,18.2
217,24.1,6.162,13.3
218,6.92,6.86,29.9
219,5.12,8.704,50
220,9.25,5.876,20.9
221,9.47,6.182,25
222,29.05,6.434,7.2
223,5.03,6.8,31.1
224,12.6,6.458,19.2
225,14.7,6.081,20
226,9.42,6.727,27.5
227,12.03,5.88,19.1
228,34.02,5.935,8.4
229,23.24,6.649,13.9
230,16.94,5.936,13.5
231,26.42,5.468,15.6
232,8.05,5.663,18.2
233,9.8,5.869,19.5
234,3.11,7.61,42.3
235,4.45,7.135,32.9
236,11.5,5.705,16.2
237,28.32,5.186,17.8
238,3.16,7.47,43.5
239,14.27,6.004,20.3
240,16.9,5.942,17.4
241,14.1,5.794,18.3
242,16.44,6.251,12.6
243,3.95,6.816,31.6
244,4.38,6.604,29.1
245,13,5.856,21.1
246,17.11,5.713,15.1
247,9.5,6.762,25
248,6.72,6.417,24.2
249,14.64,5.803,16.8
250,6.59,6.24,25.2
251,24.08,6.38,9.5
252,14.79,7.014,30.7
253,9.53,6.216,50
254,17.64,6.348,14.5
255,11.32,6.402,22.3
256,11.41,5.841,20
257,5.19,6.393,23.7
258,6.72,6.302,24.8
259,9.59,7.203,33.8
260,5.99,6.635,24.5
261,16.42,6.701,16.4
262,18.72,6.142,15.2
263,10.56,5.895,18.5
264,4.54,6.635,22.8
265,11.66,6.98,29.8
266,7.37,6.606,23.3
267,9.71,6.951,26.7
268,8.26,5.949,20.4
269,17.15,5.952,19
270,5.5,6.25,27
271,5.52,6.065,22.8
272,6.29,6.315,24.6
273,6.05,7.267,33.2
274,13.33,3.863,23.1
275,9.68,5.933,18.9
276,6.15,6.312,23
277,18.06,5.783,22.5
278,4.63,8.725,50
279,14.37,5.87,22
280,13.51,5.888,23.3
281,11.98,6.674,21
282,6.36,6.516,23.1
283,4.56,6.556,29.8
284,14.13,5.759,19.9
285,5.08,6.431,24.6
286,7.56,7.765,39.8
287,3.95,8.247,48.3
288,27.38,5.531,8.5
289,20.32,6.343,7.2
290,9.81,6.101,25
291,27.26,5.613,15.7
292,7.01,7.061,25
293,8.1,7.206,36.5
294,8.05,7.104,33
295,17.16,5.565,11.7
296,29.55,5.412,23.7
297,18.85,6.485,15.4
298,30.63,4.368,8.8
299,8.51,6.059,20.6
300,23.29,6.103,13.4
301,5.33,6.546,29.4
302,30.59,5.453,5
303,25.79,6.782,7.5
304,14.69,5.572,23.1
305,7.83,6.031,19.4
306,27.71,5.95,13.2
307,13.04,6.072,14.5
308,2.47,8.337,41.7
309,10.88,6.086,24
310,37.97,4.138,13.8
311,19.92,5.747,8.5
312,26.4,5.617,17.2
313,6.68,6.782,32
314,9.04,6.416,23.6
315,20.85,5.39,11.5
316,10.29,6.513,20.2
317,4.86,6.982,33.1
318,10.13,5.966,24.7
319,10.45,5.56,22.8
320,17.27,6.297,16.1
321,10.26,6.096,18.2
322,10.59,6.249,20.6
323,6.58,5.935,23.1
324,18.76,6.051,23.2
325,5.49,7.241,32.7
326,9.69,6.642,28.7
327,9.51,6.565,24.8
328,20.08,5.155,16.3
329,12.01,5.707,21.8
330,12.34,6.232,21.2
331,8.2,6.405,22
332,31.99,5,7.4
333,5.68,6.563,32.5
334,17.21,6.968,10.4
335,11.74,5.708,18.5
336,7.44,8.297,50
337,5.1,6.951,37
338,18.07,5.983,13.6
339,15.55,6.229,19.4
340,5.29,8.78,21.9
341,17.6,6.212,17.8
342,16.96,6.335,18.1
343,18.46,5.605,18.5
344,3.73,6.683,50
345,3.53,6.758,32.4
346,29.53,4.926,14.6
347,16.47,5.851,19.5
348,10.4,6.009,21.7
349,6.12,6.415,25
350,7.79,7.333,36
351,7.14,6.209,23.2
352,10.42,5.762,21.8
353,5.04,6.98,37.2
354,14.19,6.251,19.9
355,11.64,5.854,22.7
356,13,6.195,21.7
357,30.62,4.88,10.2
358,3.11,7.454,44
359,9.28,6.567,23.8
360,5.21,6.43,28.7
361,13.99,6.317,19.5
362,29.29,4.903,11.8
363,13.44,6.137,19.3
364,17.27,5.96,21.7
365,30.81,5.277,7.2
366,13.59,5.926,24.5
367,4.84,6.77,26.6
368,10.19,5.362,20.8
369,14.59,6.454,17.1
370,21.24,6.794,13.3
371,6.57,6.108,21.9
372,16.65,5.628,15.6
373,14.81,5.986,21.4
374,12.86,6.015,22.5
375,18.13,5.926,19.1
376,22.6,5.713,12.7
377,19.69,6.833,14.1
378,4.67,6.29,23.5
379,3.81,7.853,48.5
380,10.87,5.891,22.6
381,9.55,6.069,21.2
382,17.28,6.047,14.8
383,5.29,6.727,28
384,26.45,6.152,8.7
385,17.09,6.092,18.7
386,29.97,5.852,6.3
387,2.88,8.034,50
388,19.15,6.172,27.1
389,14.66,6.064,24.4
390,6.43,6.066,24.3
391,16.21,5.913,18.8
392,21.22,6.657,17.2
393,17.79,6.341,14.9
394,5.25,7.412,31.7
395,3.92,7.686,46.7
396,29.93,5.631,16.5
397,7.54,6.245,23.4
398,26.77,5.987,5.6
399,15.37,5.872,20.4
400,14.98,6.114,19.1
401,5.39,7.185,34.9
402,17.6,5.67,23.1
403,10.97,6.326,24.4
404,5.57,5.936,20.6
